"","Estimate","Year","Value","Pop.variable","Locality"
"235","est",2023,53,"fert","Teneskjaer"
"236","lower",2023,8,"fert","Teneskjaer"
"237","upper",2023,139,"fert","Teneskjaer"
"238","est",2024,125,"fert","Teneskjaer"
"239","lower",2024,34,"fert","Teneskjaer"
"240","upper",2024,401,"fert","Teneskjaer"
"241","est",2014,5784,"veg","Teneskjaer"
"242","lower",2014,329,"veg","Teneskjaer"
"243","upper",2014,15311,"veg","Teneskjaer"
"244","est",2015,3716,"veg","Teneskjaer"
"245","lower",2015,289,"veg","Teneskjaer"
"246","upper",2015,9141,"veg","Teneskjaer"
"247","est",2016,1730,"veg","Teneskjaer"
"248","lower",2016,187,"veg","Teneskjaer"
"249","upper",2016,4510,"veg","Teneskjaer"
"250","est",2017,1539,"veg","Teneskjaer"
"251","lower",2017,149,"veg","Teneskjaer"
"252","upper",2017,3915,"veg","Teneskjaer"
"253","est",2019,316,"veg","Teneskjaer"
"254","lower",2019,87,"veg","Teneskjaer"
"255","upper",2019,650,"veg","Teneskjaer"
"256","est",2020,132,"veg","Teneskjaer"
"257","lower",2020,50,"veg","Teneskjaer"
"258","upper",2020,454,"veg","Teneskjaer"
"259","est",2021,283,"veg","Teneskjaer"
"260","lower",2021,67,"veg","Teneskjaer"
"261","upper",2021,565,"veg","Teneskjaer"
"262","est",2022,276,"veg","Teneskjaer"
"263","lower",2022,77,"veg","Teneskjaer"
"264","upper",2022,610,"veg","Teneskjaer"
"265","est",2023,344,"veg","Teneskjaer"
"266","lower",2023,61,"veg","Teneskjaer"
"267","upper",2023,999,"veg","Teneskjaer"
"268","est",2024,513,"veg","Teneskjaer"
"269","lower",2024,142,"veg","Teneskjaer"
"270","upper",2024,1774,"veg","Teneskjaer"
"271","est",2014,8.2,"forekomst","Teneskjaer"
"272","lower",2014,8.2,"forekomst","Teneskjaer"
"273","upper",2014,8.2,"forekomst","Teneskjaer"
"274","est",2015,7.4,"forekomst","Teneskjaer"
"275","lower",2015,5.7,"forekomst","Teneskjaer"
"276","upper",2015,8.2,"forekomst","Teneskjaer"
"277","est",2016,5.3,"forekomst","Teneskjaer"
"278","lower",2016,2.1,"forekomst","Teneskjaer"
"279","upper",2016,8.2,"forekomst","Teneskjaer"
"280","est",2017,5.3,"forekomst","Teneskjaer"
"281","lower",2017,2.1,"forekomst","Teneskjaer"
"282","upper",2017,8.2,"forekomst","Teneskjaer"
"283","est",2019,4.1,"forekomst","Teneskjaer"
"284","lower",2019,1.6,"forekomst","Teneskjaer"
"285","upper",2019,6.6,"forekomst","Teneskjaer"
"286","est",2020,1.3,"forekomst","Teneskjaer"
"287","lower",2020,0,"forekomst","Teneskjaer"
"288","upper",2020,3.7,"forekomst","Teneskjaer"
"289","est",2021,4.9,"forekomst","Teneskjaer"
"290","lower",2021,2.5,"forekomst","Teneskjaer"
"291","upper",2021,7.4,"forekomst","Teneskjaer"
"292","est",2022,4.1,"forekomst","Teneskjaer"
"293","lower",2022,1.6,"forekomst","Teneskjaer"
"294","upper",2022,6.6,"forekomst","Teneskjaer"
"295","est",2023,9.9,"forekomst","Teneskjaer"
"296","lower",2023,3.3,"forekomst","Teneskjaer"
"297","upper",2023,20.9,"forekomst","Teneskjaer"
"298","est",2024,4.6,"forekomst","Teneskjaer"
"299","lower",2024,2.5,"forekomst","Teneskjaer"
"300","upper",2024,19.2,"forekomst","Teneskjaer"
"301","est",2014,9427,"size","Skjellvik"
"302","lower",2014,4833,"size","Skjellvik"
"303","upper",2014,15924,"size","Skjellvik"
"304","est",2015,13951,"size","Skjellvik"
"305","lower",2015,6566,"size","Skjellvik"
"306","upper",2015,25403,"size","Skjellvik"
"307","est",2016,13146,"size","Skjellvik"
"308","lower",2016,6932,"size","Skjellvik"
"309","upper",2016,21996,"size","Skjellvik"
"310","est",2017,19965,"size","Skjellvik"
"311","lower",2017,9495,"size","Skjellvik"
"312","upper",2017,37178,"size","Skjellvik"
"313","est",2019,8848,"size","Skjellvik"
"314","lower",2019,4409,"size","Skjellvik"
"315","upper",2019,15077,"size","Skjellvik"
"316","est",2020,13482,"size","Skjellvik"
"317","lower",2020,6878,"size","Skjellvik"
"318","upper",2020,22773,"size","Skjellvik"
"319","est",2021,10120,"size","Skjellvik"
"320","lower",2021,4800,"size","Skjellvik"
"321","upper",2021,17794,"size","Skjellvik"
"322","est",2022,11352,"size","Skjellvik"
"323","lower",2022,5514,"size","Skjellvik"
"324","upper",2022,19682,"size","Skjellvik"
"325","est",2023,34720,"size","Skjellvik"
"326","lower",2023,17058,"size","Skjellvik"
"327","upper",2023,59717,"size","Skjellvik"
"328","est",2024,22020,"size","Skjellvik"
"329","lower",2024,9314,"size","Skjellvik"
"330","upper",2024,38800,"size","Skjellvik"
"331","est",2014,3045,"fert","Skjellvik"
"332","lower",2014,1615,"fert","Skjellvik"
"333","upper",2014,5697,"fert","Skjellvik"
"334","est",2015,2674,"fert","Skjellvik"
"335","lower",2015,1154,"fert","Skjellvik"
"336","upper",2015,4940,"fert","Skjellvik"
"337","est",2016,2379,"fert","Skjellvik"
"338","lower",2016,1389,"fert","Skjellvik"
"339","upper",2016,6703,"fert","Skjellvik"
"340","est",2017,4104,"fert","Skjellvik"
"341","lower",2017,2084,"fert","Skjellvik"
"342","upper",2017,6897,"fert","Skjellvik"
"343","est",2019,2557,"fert","Skjellvik"
"344","lower",2019,921,"fert","Skjellvik"
"345","upper",2019,4633,"fert","Skjellvik"
"346","est",2020,3769,"fert","Skjellvik"
"347","lower",2020,868,"fert","Skjellvik"
"348","upper",2020,6937,"fert","Skjellvik"
"349","est",2021,2760,"fert","Skjellvik"
"350","lower",2021,1178,"fert","Skjellvik"
"351","upper",2021,5760,"fert","Skjellvik"
"352","est",2022,2565,"fert","Skjellvik"
"353","lower",2022,990,"fert","Skjellvik"
"354","upper",2022,4777,"fert","Skjellvik"
"355","est",2023,7354,"fert","Skjellvik"
"356","lower",2023,2866,"fert","Skjellvik"
"357","upper",2023,16910,"fert","Skjellvik"
"358","est",2024,2301,"fert","Skjellvik"
"359","lower",2024,475,"fert","Skjellvik"
"360","upper",2024,6840,"fert","Skjellvik"
"361","est",2014,6382,"veg","Skjellvik"
"362","lower",2014,2990,"veg","Skjellvik"
"363","upper",2014,10946,"veg","Skjellvik"
"364","est",2015,11277,"veg","Skjellvik"
"365","lower",2015,4814,"veg","Skjellvik"
"366","upper",2015,21635,"veg","Skjellvik"
"367","est",2016,10767,"veg","Skjellvik"
"368","lower",2016,4629,"veg","Skjellvik"
"369","upper",2016,17895,"veg","Skjellvik"
"370","est",2017,15861,"veg","Skjellvik"
"371","lower",2017,6864,"veg","Skjellvik"
"372","upper",2017,30152,"veg","Skjellvik"
"373","est",2019,6291,"veg","Skjellvik"
"374","lower",2019,3260,"veg","Skjellvik"
"375","upper",2019,11038,"veg","Skjellvik"
"376","est",2020,9713,"veg","Skjellvik"
"377","lower",2020,5376,"veg","Skjellvik"
"378","upper",2020,16937,"veg","Skjellvik"
"379","est",2021,7360,"veg","Skjellvik"
"380","lower",2021,3237,"veg","Skjellvik"
"381","upper",2021,12935,"veg","Skjellvik"
"382","est",2022,8787,"veg","Skjellvik"
"383","lower",2022,4303,"veg","Skjellvik"
"384","upper",2022,15336,"veg","Skjellvik"
"385","est",2023,27366,"veg","Skjellvik"
"386","lower",2023,12981,"veg","Skjellvik"
"387","upper",2023,43869,"veg","Skjellvik"
"388","est",2024,19719,"veg","Skjellvik"
"389","lower",2024,8450,"veg","Skjellvik"
"390","upper",2024,33456,"veg","Skjellvik"
"391","est",2014,172.5,"forekomst","Skjellvik"
"392","lower",2014,112.5,"forekomst","Skjellvik"
"393","upper",2014,247.5,"forekomst","Skjellvik"
"394","est",2015,172.5,"forekomst","Skjellvik"
"395","lower",2015,112.5,"forekomst","Skjellvik"
"396","upper",2015,247.5,"forekomst","Skjellvik"
"397","est",2016,172.5,"forekomst","Skjellvik"
"398","lower",2016,112.5,"forekomst","Skjellvik"
"399","upper",2016,247.5,"forekomst","Skjellvik"
"400","est",2017,172.5,"forekomst","Skjellvik"
"401","lower",2017,112.5,"forekomst","Skjellvik"
"402","upper",2017,247.5,"forekomst","Skjellvik"
"403","est",2019,172.5,"forekomst","Skjellvik"
"404","lower",2019,112.5,"forekomst","Skjellvik"
"405","upper",2019,247.5,"forekomst","Skjellvik"
"406","est",2020,172.5,"forekomst","Skjellvik"
"407","lower",2020,112.5,"forekomst","Skjellvik"
"408","upper",2020,247.5,"forekomst","Skjellvik"
"409","est",2021,172.5,"forekomst","Skjellvik"
"410","lower",2021,112.5,"forekomst","Skjellvik"
"411","upper",2021,247.5,"forekomst","Skjellvik"
"412","est",2022,142.5,"forekomst","Skjellvik"
"413","lower",2022,82.5,"forekomst","Skjellvik"
"414","upper",2022,210,"forekomst","Skjellvik"
"415","est",2023,232.5,"forekomst","Skjellvik"
"416","lower",2023,164.6,"forekomst","Skjellvik"
"417","upper",2023,315,"forekomst","Skjellvik"
"418","est",2024,210,"forekomst","Skjellvik"
"419","lower",2024,142.5,"forekomst","Skjellvik"
"420","upper",2024,285,"forekomst","Skjellvik"
